gene	term	evidence
064Ya	GO:0048149	IMP
10-4	GO:0008150	ND
14-3-3epsilon	GO:0000077	IMP
14-3-3epsilon	GO:0000077	TAS
14-3-3epsilon	GO:0007093	TAS
14-3-3epsilon	GO:0009314	TAS
14-3-3epsilon	GO:0007444	TAS
14-3-3epsilon	GO:0000077	IMP
14-3-3epsilon	GO:0007088	IMP
14-3-3epsilon	GO:0007294	IMP
14-3-3epsilon	GO:0008103	IMP
14-3-3epsilon	GO:0048190	IGI
14-3-3epsilon	GO:0045927	IMP
14-3-3epsilon	GO:0008340	IMP
14-3-3epsilon	GO:0009411	IMP
14-3-3epsilon	GO:0040008	IGI
14-3-3epsilon	GO:0042994	IMP
14-3-3epsilon	GO:0035332	IGI
14-3-3epsilon	GO:0007280	IMP
14-3-3epsilon	GO:0007411	IMP
14-3-3epsilon	GO:0046579	HGI
14-3-3zeta	GO:0120176	IGI
14-3-3zeta	GO:0008355	NAS
14-3-3zeta	GO:0007059	IMP
14-3-3zeta	GO:0045448	IMP
14-3-3zeta	GO:0007611	IMP
14-3-3zeta	GO:0007611	NAS
14-3-3zeta	GO:0007294	IGI
14-3-3zeta	GO:0008103	IGI
14-3-3zeta	GO:0050821	IDA
14-3-3zeta	GO:0050821	IMP
14-3-3zeta	GO:0006457	IDA
14-3-3zeta	GO:0006457	IMP
14-3-3zeta	GO:0040040	IMP
14-3-3zeta	GO:0042994	IMP
14-3-3zeta	GO:0035332	IGI
14-3-3zeta	GO:0046579	HGI
140up	GO:0007275	IMP
144Y	GO:0042332	IMP
161Y	GO:0042332	IMP
18w	GO:0009653	IMP
18w	GO:0007155	IDA
18w	GO:0006955	IEP
18w	GO:0019731	IMP
18w	GO:0048598	TAS
18w	GO:0006952	TAS
18w	GO:0019731	TAS
18w	GO:0007275	TAS
18w	GO:0019730	IMP
18w	GO:0007165	IEA
18w	GO:0007297	IMP
18w	GO:0030703	IMP
18w	GO:0003401	IGI
18w	GO:0060026	IGI
18w	GO:0007419	HMP
194-26	GO:0048477	IMP
2.1	GO:0008150	ND
20-51	GO:0048477	IMP
2033	GO:0001745	IMP
26-29-p	GO:0051603	IBA
26D19	GO:0016319	IMP
27-25	GO:0048477	IMP
29B70	GO:0016319	IMP
2D5	GO:0007474	IMP
2L-250-35	GO:0007350	IMP
2L0058	GO:0035001	IMP
2L0372	GO:0035149	IMP
2L0439	GO:0035001	IMP
2L1923	GO:0007430	IMP
2L2218	GO:0007430	IMP
2L2806	GO:0007430	IMP
2L2853	GO:0007430	IMP
2L3047	GO:0007430	IMP
2L3120	GO:0007430	IMP
2L3193	GO:0007430	IMP
2L3244	GO:0007430	IMP
2L3393	GO:0007430	IMP
2L3443	GO:0007430	IMP
2L4117	GO:0035149	IMP
2R-F	GO:0007475	IMP
2R-L	GO:0007475	IMP
2mit	GO:0007614	IMP
312	GO:0090071	IBA
312	GO:0017148	IBA
31B8	GO:0007298	IMP
3F43	GO:0008587	IMP
3L-215-13	GO:0030703	IMP
3L-B	GO:0007475	IMP
3N5	GO:0035220	IMP
3R-40-7	GO:0008362	IMP
3R-64-33	GO:0001700	IMP
3R-66-38	GO:0001700	IMP
3R-C	GO:0007475	IMP
4B7-11	GO:0007293	IMP
5-HT1A	GO:0007208	IDA
5-HT1A	GO:0007198	IDA
5-HT1A	GO:0007210	ISS
5-HT1A	GO:0007198	TAS
5-HT1A	GO:0007208	TAS
5-HT1A	GO:0045187	IMP
5-HT1A	GO:0007615	IDA
5-HT1A	GO:0007210	IDA
5-HT1A	GO:0008049	IMP
5-HT1A	GO:0002121	IMP
5-HT1A	GO:0007187	IBA
5-HT1A	GO:0007268	IBA
5-HT1B	GO:0007208	IDA
5-HT1B	GO:0007198	IDA
5-HT1B	GO:0007210	ISS
5-HT1B	GO:0007208	TAS
5-HT1B	GO:0007198	TAS
5-HT1B	GO:0009649	IMP
5-HT1B	GO:0007210	IDA
5-HT1B	GO:0007187	IBA
5-HT1B	GO:0007268	IBA
5-HT2A	GO:0007377	IMP
5-HT2A	GO:0007210	ISS
5-HT2A	GO:0007210	TAS
5-HT2A	GO:2000253	IMP
5-HT2A	GO:0007210	IMP
5-HT2A	GO:0007210	IDA
5-HT2A	GO:0007187	IBA
5-HT2A	GO:0007268	IBA
5-HT2B	GO:0007186	ISS
5-HT2B	GO:0007210	IDA
5-HT2B	GO:0007268	IBA
5-HT2B	GO:0007187	IBA
5-HT7	GO:0007210	ISS
5-HT7	GO:0007192	TAS
5-HT7	GO:0007619	IMP
5-HT7	GO:0060179	IMP
5-HT7	GO:0016546	IMP
5-HT7	GO:0016543	IMP
5-HT7	GO:0060180	IMP
5-HT7	GO:0016545	IMP
5-HT7	GO:0007210	IDA
5-HT7	GO:0007268	IBA
5-HT7	GO:0007187	IBA
5PtaseI	GO:0046856	IEA
5PtaseI	GO:0046855	IMP
5PtaseI	GO:0048016	IBA
5PtaseI	GO:0046855	IBA
5SrRNA:CR33353	GO:0006412	ISM
5SrRNA:CR33354	GO:0006412	ISM
5SrRNA:CR33355	GO:0006412	ISM
5SrRNA:CR33357	GO:0006412	ISM
5SrRNA:CR33358	GO:0006412	ISM
5SrRNA:CR33359	GO:0006412	ISM
5SrRNA:CR33360	GO:0006412	ISM
