EntrezGene ID	Ensembl Gene ID
2768962	FBgn0036531
40715	FBgn0037375
38205	FBgn0035252
3771806	FBgn0028581
35572	FBgn0033090
	FBgn0262995
35339	FBgn0032883
42289	FBgn0004876
	FBgn0262895
40247	FBgn0036979
40825	FBgn0004783
318603	FBgn0051253
318646	FBgn0051253
	FBgn0267709
37270	FBgn0034474
	FBgn0262220
3771879	FBgn0053843
3772665	FBgn0053843
3771910	FBgn0053843
3771838	FBgn0053843
3772225	FBgn0053843
3772702	FBgn0053843
3772715	FBgn0053843
3772077	FBgn0053843
3771803	FBgn0053843
3771981	FBgn0053843
3771816	FBgn0053843
318854	FBgn0053843
3772409	FBgn0053843
3771912	FBgn0053843
3771818	FBgn0053843
3772004	FBgn0053843
3772075	FBgn0053843
	FBgn0264983
37991	FBgn0035085
	FBgn0265953
19835907	FBgn0266174
3355107	FBgn0263977
34594	FBgn0264815
43263	FBgn0039485
3355174	FBgn0046323
39327	FBgn0036204
36623	FBgn0033948
	FBgn0051781
38400	FBgn0035425
246608	FBgn0050428
37446	FBgn0034629
318856	FBgn0023090
38422	FBgn0035444
34831	FBgn0016930
35788	FBgn0005648
	FBgn0082948
3885667	FBgn0261682
59246	FBgn0042213
31626	FBgn0029909
	FBgn0267215
43844	FBgn0039938
8674095	FBgn0259959
38604	FBgn0035594
37872	FBgn0034986
48532	FBgn0003140
44254	FBgn0025525
36700	FBgn0034010
31248	FBgn0003371
39213	FBgn0036099
	FBgn0267659
36160	FBgn0033571
40803	FBgn0037454
35986	FBgn0033428
32776	FBgn0030883
	FBgn0265508
32774	FBgn0030881
43662	FBgn0000416
39205	FBgn0036091
40556	FBgn0037242
31604	FBgn0029888
36229	FBgn0033628
	FBgn0266226
40600	FBgn0037280
	FBgn0262315
33401	FBgn0031401
40009	FBgn0003997
36308	FBgn0010621
	FBgn0266074
32921	FBgn0031008
37021	FBgn0034271
42015	FBgn0020907
42854	FBgn0013343
33897	FBgn0263278
43179	FBgn0051086
	FBgn0264941
12797910	FBgn0262893
	FBgn0012016
33213	FBgn0031252
246638	FBgn0050476
31614	FBgn0029898
34583	FBgn0032369
38623	FBgn0035611
40790	FBgn0010282
	FBgn0082933
246534	FBgn0050291
40168	FBgn0262518
38350	FBgn0035379
5740242	FBgn0085214
34630	FBgn0032407
43459	FBgn0062442
8673995	FBgn0259970
40840	FBgn0037464
	FBgn0266954
32642	FBgn0030769
38647	FBgn0035632
170876	FBgn0046873
326209	FBgn0052351
33888	FBgn0031804
41880	FBgn0262483
3772159	FBgn0064119
37858	FBgn0023081
49809	FBgn0262734
	FBgn0263869
37771	FBgn0034910
41359	FBgn0037890
34339	FBgn0032178
3771728	FBgn0064116
40164	FBgn0013799
318992	FBgn0051866
	FBgn0263834
	FBgn0267226
43298	FBgn0260487
34428	FBgn0032247
33693	FBgn0031643
43111	FBgn0039367
37117	FBgn0034345
	FBgn0266350
59128	FBgn0041702
	FBgn0264995
	FBgn0265372
40654	FBgn0037328
31407	FBgn0029722
37710	FBgn0034861
	FBgn0053423
38273	FBgn0035308
326186	FBgn0052056
38646	FBgn0035631
31283	FBgn0025645
39523	FBgn0086785
35795	FBgn0033273
12798254	FBgn0262581
39926	FBgn0036706
42524	FBgn0285937
	FBgn0265049
35669	FBgn0033174
39662	FBgn0036493
37737	FBgn0034883
43707	FBgn0039844
	FBgn0262892
32320	FBgn0030504
40384	FBgn0026371
36604	FBgn0033935
42303	FBgn0051475
33426	FBgn0031423
	FBgn0267420
	FBgn0264460
41540	FBgn0038055
34139	FBgn0032017
36292	FBgn0028407
37691	FBgn0050412
